car_name,price,year,engine,mileage,valyuta,exchange_rate
Hyundai Sonata,18300,2016,2.4,4500,$,1.70
Hyundai Sonata,17300,2008,2.4,216000,AZN,1.00
Hyundai Sonata,20500,2011,2.4,176000,AZN,1.00
Hyundai Sonata,22500,2012,2.0,69000,AZN,1.00
Hyundai Sonata,5900,1995,2.0,190000,AZN,1.00
Hyundai Sonata,18900,1998,2.2,318000,AZN,1.00
Hyundai Sonata,27000,2013,2.0,31000,AZN,1.00
Hyundai Sonata,26500,2018,2.0,0,$,1.70
Hyundai Sonata,25300,2011,2.4,71000,AZN,1.00
Hyundai Sonata,8399,2004,2.4,361800,AZN,1.00
Hyundai Sonata,16000,2007,2.0,234000,AZN,1.00
Hyundai Sonata,19400,2010,2.4,123101,AZN,1.00
Hyundai Sonata,22400,2014,2.4,63000,AZN,1.00
Hyundai Sonata,17900,2008,2.4,177000,AZN,1.00
Hyundai Sonata,16800,2008,2.4,128000,AZN,1.00
Hyundai Sonata,18600,2009,2.4,86550,AZN,1.00
Hyundai Sonata,34000,2014,2.4,109000,AZN,1.00
Hyundai Sonata,5250,2006,1.6,170000,AZN,1.00
Hyundai Sonata,15500,2007,2.4,194000,AZN,1.00
Hyundai Sonata,17900,2010,2.4,145000,AZN,1.00
Hyundai Sonata,22000,2011,2.4,165000,AZN,1.00
Hyundai Sonata,8700,2003,2.0,366600,AZN,1.00
Hyundai Sonata,28000,2015,2.0,59000,AZN,1.00
Hyundai Sonata,30500,2015,2.4,42000,AZN,1.00
Hyundai Sonata,25000,2012,2.4,89000,AZN,1.00
Hyundai Sonata,15900,2007,2.4,185000,AZN,1.00
Hyundai Sonata,14600,2006,2.4,155000,AZN,1.00
Hyundai Sonata,5600,2006,1.6,512290,AZN,1.00
Hyundai Sonata,26800,2000,2.5,378768,AZN,1.00
Hyundai Sonata,26500,2013,2.4,95000,AZN,1.00
Hyundai Sonata,14800,2007,2.4,118000,AZN,1.00
Hyundai Sonata,11700,2005,3.3,280000,AZN,1.00
Hyundai Sonata,12700,2005,2.4,190000,AZN,1.00
Hyundai Sonata,29000,2014,2.0,77000,AZN,1.00
Hyundai Sonata,12500,2005,2.4,174674,AZN,1.00
Hyundai Sonata,19200,2011,2.0,79500,AZN,1.00
Hyundai Sonata,32100,2017,2.4,32000,AZN,1.00
Hyundai Sonata,25300,2017,2.0,9100,$,1.70
Hyundai Sonata,23500,2011,2.4,110986,AZN,1.00
Hyundai Sonata,20500,2017,2.0,33000,$,1.70
Hyundai Sonata,18500,2011,2.0,70000,AZN,1.00
Hyundai Sonata,18800,2016,2.0,33000,$,1.70
Hyundai Sonata,24800,2013,2.0,94200,AZN,1.00
Hyundai Sonata,25300,2013,2.0,48000,AZN,1.00
Hyundai Sonata,23500,2010,2.4,57000,AZN,1.00
Hyundai Sonata,30000,2017,2.0,51000,AZN,1.00
Hyundai Sonata,16200,2008,2.4,198000,AZN,1.00
Hyundai Sonata,26800,2014,2.4,75000,AZN,1.00
Hyundai Sonata,6500,1995,2.0,198650,AZN,1.00
Hyundai Sonata,26200,2016,2.4,80150,AZN,1.00
Hyundai Sonata,13300,2005,2.4,165000,AZN,1.00
