car_name,price,year,engine,mileage,valyuta,exchange_rate
Opel Astra,6300,1997,1.6,141355,AZN,1.00
Opel Astra,8500,1999,1.6,324892,AZN,1.00
Opel Astra,9500,1999,1.6,272000,AZN,1.00
Opel Astra,4900,1994,1.6,285000,AZN,1.00
Opel Astra,58500,2011,4.4,6300,$,1.70
Opel Astra,15300,2008,1.8,203000,AZN,1.00
Opel Astra,3400,1997,1.8,220000,AZN,1.00
Opel Astra,12300,2008,1.4,208000,AZN,1.00
Opel Astra,12900,2009,1.3,114000,AZN,1.00
Opel Astra,13000,2007,1.4,217000,AZN,1.00
Opel Astra,7800,1999,1.6,245600,AZN,1.00
Opel Astra,5200,1996,1.8,300000,AZN,1.00
Opel Astra,10500,2005,1.3,300000,AZN,1.00
Opel Astra,12200,2006,1.4,189000,AZN,1.00
Opel Astra,7500,1998,1.6,285000,AZN,1.00
Opel Astra,2950,1986,1.3,147589,AZN,1.00
Opel Astra,12000,2007,1.7,200000,AZN,1.00
Opel Astra,5000,1998,1.5,150000,AZN,1.00
Opel Astra,7800,1999,1.6,368000,AZN,1.00
Opel Astra,8100,1999,1.6,242000,AZN,1.00
Opel Astra,8400,1999,1.6,225000,AZN,1.00
Opel Astra,5500,1996,1.6,350555,AZN,1.00
Opel Astra,12500,2005,1.4,138000,AZN,1.00
Opel Astra,8300,1998,1.8,290000,AZN,1.00
Opel Astra,11000,2004,1.4,320000,AZN,1.00
Opel Astra,11500,2006,1.6,375806,AZN,1.00
Opel Astra,8100,1998,1.6,367000,AZN,1.00
Opel Astra,3900,1995,1.6,234300,AZN,1.00
Opel Astra,12300,1987,0.1,15880,AZN,1.00
Opel Astra,10000,1998,1.6,220583,AZN,1.00
Opel Astra,8400,2001,1.8,210000,AZN,1.00
Opel Astra,7500,1998,1.6,443000,AZN,1.00
Opel Astra,8500,1998,1.8,257000,AZN,1.00
Opel Astra,8900,2001,1.6,222635,AZN,1.00
Opel Astra,7200,1998,1.6,632000,AZN,1.00
Opel Astra,11800,2007,1.3,225000,AZN,1.00
Opel Astra,5200,1994,1.6,290000,AZN,1.00
Opel Astra,8300,1998,1.6,260651,AZN,1.00
Opel Astra,8300,1999,1.6,202150,AZN,1.00
Opel Astra,6500,1998,1.6,246837,AZN,1.00
Opel Astra,12000,2008,1.3,164000,AZN,1.00
Opel Astra,19500,2012,1.6,185000,AZN,1.00
Opel Astra,8600,2000,1.6,235641,AZN,1.00
